name,position,team,bye_week,adp,adp_round,adp_7d,adp_30d,trend_7d,trend_30d
Jahmyr Gibbs,RB,DET,6,1.1,1,1.2,1.8,-0.1,-0.7
Bijan Robinson,RB,ATL,11,2.1,1,2.0,1.5,0.0,0.6
Ja'Marr Chase,WR,CIN,6,3.0,1,3.2,3.3,-0.2,-0.3
Puka Nacua,WR,LAR,11,4.3,1,3.9,3.9,0.4,0.4
Jaxon Smith-Njigba,WR,SEA,11,5.4,1,5.7,5.2,-0.2,0.2
Christian McCaffrey,RB,SF,8,6.7,1,6.2,6.1,0.5,0.6
Amon-Ra St. Brown,WR,DET,6,7.0,1,7.1,8.8,-0.1,-1.8
Jonathan Taylor,RB,IND,13,7.8,1,7.9,7.6,-0.0,0.2
James Cook III,RB,BUF,7,9.0,1,10.5,10.6,-1.5,-1.6
Justin Jefferson,WR,MIN,6,10.5,1,10.0,8.4,0.6,2.1
CeeDee Lamb,WR,DAL,14,11.2,1,10.4,10.8,0.7,0.3
Ashton Jeanty,RB,LV,13,12.7,2,12.8,12.6,-0.1,0.2
Saquon Barkley,RB,PHI,10,13.7,2,13.6,14.3,0.2,-0.6
Kenneth Walker III,RB,KC,5,14.0,2,14.3,15.6,-0.3,-1.6
Chase Brown,RB,CIN,6,14.6,2,15.3,20.5,-0.7,-5.9
De'Von Achane,RB,MIA,6,15.9,2,18.2,13.6,-2.4,2.3
Omarion Hampton,RB,LAC,7,17.8,2,15.5,19.8,2.2,-2.0
A.J. Brown,WR,NE,11,18.4,2,17.9,28.3,0.5,-9.9
Derrick Henry,RB,BAL,13,19.1,2,19.6,22.4,-0.5,-3.3
Brock Bowers,TE,LV,13,19.4,2,19.1,22.6,0.3,-3.2
Drake London,WR,ATL,11,21.7,2,21.3,18.5,0.5,3.3
Malik Nabers,WR,NYG,8,22.6,2,23.4,21.5,-0.8,1.1
George Pickens,WR,DAL,14,23.6,2,24.8,25.8,-1.2,-2.2
Rashee Rice,WR,KC,5,24.9,3,23.0,16.2,1.9,8.7
Nico Collins,WR,HOU,8,25.9,3,25.1,26.6,0.7,-0.8
Trey McBride,TE,ARI,14,26.8,3,26.5,18.9,0.3,7.9
Chris Olave,WR,NO,8,27.0,3,27.7,29.1,-0.7,-2.1
Josh Allen,QB,BUF,7,28.6,3,28.4,22.4,0.1,6.2
Kyren Williams,RB,LAR,11,29.3,3,30.0,31.3,-0.8,-2.0
DeVonta Smith,WR,PHI,10,29.8,3,29.5,32.9,0.3,-3.1
Jeremiyah Love,RB,ARI,14,30.6,3,32.7,25.5,-2.2,5.0
Zay Flowers,WR,BAL,13,32.2,3,32.6,40.1,-0.4,-7.8
Ladd McConkey,WR,LAC,7,33.4,3,33.3,46.1,0.1,-12.6
Emeka Egbuka,WR,TB,10,34.3,3,30.8,35.6,3.5,-1.3
Javonte Williams,RB,DAL,14,34.3,3,35.7,39.3,-1.4,-4.9
Tee Higgins,WR,CIN,6,36.4,4,35.6,34.9,0.8,1.6
Breece Hall,RB,NYJ,13,36.9,4,38.2,37.4,-1.3,-0.5
Garrett Wilson,WR,NYJ,13,38.7,4,39.2,38.5,-0.5,0.2
Jaylen Waddle,WR,DEN,10,39.5,4,38.9,50.1,0.6,-10.6
Colston Loveland,TE,CHI,10,40.0,4,40.0,41.9,-0.0,-1.9
Cam Skattebo,RB,NYG,8,41.5,4,42.4,45.0,-0.9,-3.5
Tetairoa McMillan,WR,CAR,5,42.6,4,41.9,36.9,0.6,5.7
DJ Moore,WR,BUF,7,43.1,4,46.1,43.1,-3.0,0.0
Travis Etienne Jr.,RB,NO,8,44.0,4,45.0,34.7,-1.1,9.3
Josh Jacobs,RB,GB,11,45.8,4,43.5,30.0,2.2,15.8
David Montgomery,RB,HOU,8,46.9,4,49.7,54.5,-2.8,-7.6
D'Andre Swift,RB,CHI,10,47.2,4,50.7,57.5,-3.5,-10.3
Luther Burden III,WR,CHI,10,48.7,5,44.8,48.5,3.9,0.3
Davante Adams,WR,LAR,11,50.2,5,50.3,45.7,-0.2,4.5
Bhayshul Tuten,RB,JAX,7,50.4,5,47.1,65.0,3.3,-14.6
Terry McLaurin,WR,WAS,7,51.8,5,48.9,54.0,3.0,-2.1
Parker Washington,WR,JAX,7,52.2,5,55.8,68.1,-3.7,-15.9
Jameson Williams,WR,DET,6,52.8,5,52.3,52.9,0.5,-0.2
Quinshon Judkins,RB,CLE,11,53.6,5,53.6,51.0,-0.0,2.6
Mike Evans,WR,SF,8,55.5,5,55.6,52.8,-0.1,2.7
Lamar Jackson,QB,BAL,13,56.2,5,55.8,45.7,0.4,10.6
Christian Watson,WR,GB,11,56.9,5,56.1,60.5,0.8,-3.5
Bucky Irving,RB,TB,10,57.0,5,58.1,44.3,-1.1,12.6
Rome Odunze,WR,CHI,10,58.1,5,58.7,57.7,-0.5,0.5
Tyler Warren,TE,IND,13,58.5,5,59.7,61.3,-1.3,-2.9
TreVeyon Henderson,RB,NE,11,61.7,6,60.0,56.5,1.7,5.2
Joe Burrow,QB,CIN,6,62.3,6,62.0,52.2,0.3,10.0
Jadarian Price,RB,SEA,11,64.2,6,63.4,59.0,0.8,5.2
Carnell Tate,WR,TEN,9,64.5,6,63.5,64.9,1.0,-0.4
Brian Thomas Jr.,WR,JAX,7,66.4,6,66.2,74.8,0.2,-8.4
Marvin Harrison Jr.,WR,ARI,14,67.0,6,69.2,67.2,-2.2,-0.2
Drake Maye,QB,NE,11,67.6,6,67.3,63.3,0.4,4.4
Rhamondre Stevenson,RB,NE,11,68.8,6,73.7,78.0,-4.9,-9.2
Jaylen Warren,RB,PIT,9,71.3,6,71.3,90.0,-0.0,-18.7
Caleb Williams,QB,CHI,10,72.2,7,72.8,66.9,-0.6,5.4
Jonathon Brooks,RB,CAR,5,72.9,7,80.9,130.9,-8.0,-58.0
Jayden Daniels,QB,WAS,7,73.7,7,70.8,67.0,2.9,6.7
Quentin Johnston,WR,LAC,7,74.4,7,73.6,103.8,0.8,-29.4
Michael Wilson,WR,ARI,14,74.9,7,77.7,79.9,-2.8,-5.0
Tucker Kraft,TE,GB,11,76.1,7,76.5,74.5,-0.4,1.6
Jordyn Tyson,WR,NO,8,77.3,7,66.0,68.7,11.3,8.6
Jalen Hurts,QB,PHI,10,78.2,7,77.5,71.9,0.6,6.2
Tony Pollard,RB,TEN,9,78.8,7,78.2,82.5,0.5,-3.7
Sam LaPorta,TE,DET,6,79.2,7,80.0,86.6,-0.8,-7.5
DK Metcalf,WR,PIT,9,80.3,7,74.8,78.7,5.5,1.5
Dak Prescott,QB,DAL,14,80.7,7,79.0,75.5,1.7,5.2
Chris Godwin Jr.,WR,TB,10,81.0,7,81.2,87.7,-0.2,-6.8
Josh Downs,WR,IND,13,82.9,7,86.0,113.2,-3.1,-30.3
RJ Harvey,RB,DEN,10,83.6,7,86.0,77.4,-2.4,6.2
Courtland Sutton,WR,DEN,10,83.8,7,83.7,83.0,0.1,0.8
Justin Herbert,QB,LAC,7,86.3,8,84.9,93.2,1.4,-6.9
Stefon Diggs,WR,WAS,7,87.2,8,98.8,155.1,-11.6,-67.9
Trevor Lawrence,QB,JAX,7,87.8,8,86.8,85.8,1.0,2.0
Rico Dowdle,RB,PIT,9,88.2,8,89.8,94.8,-1.6,-6.6
Kyle Pitts Sr.,TE,ATL,11,89.4,8,89.4,92.6,-0.0,-3.2
Jayden Reed,WR,GB,11,91.0,8,92.2,93.5,-1.2,-2.5
Blake Corum,RB,LAR,11,91.4,8,94.4,102.8,-3.0,-11.4
Matthew Stafford,QB,LAR,11,93.4,8,92.7,89.6,0.8,3.8
Harold Fannin Jr.,TE,CLE,11,95.8,8,96.8,81.6,-1.0,14.2
Kenny Gainwell,RB,TB,10,96.9,9,99.2,118.7,-2.3,-21.8
Wan'Dale Robinson,WR,TEN,9,97.5,9,100.4,101.0,-2.9,-3.5
Alec Pierce,WR,IND,13,98.7,9,91.8,70.9,6.8,27.8
Patrick Mahomes,QB,KC,5,100.7,9,100.7,85.0,-0.0,15.7
Jordan Mason,RB,MIN,6,101.3,9,111.1,126.9,-9.8,-25.6
Michael Pittman Jr.,WR,PIT,9,101.3,9,95.0,110.3,6.3,-9.0
Jared Goff,QB,DET,6,102.8,9,103.8,103.6,-1.0,-0.8
Jordan Addison,WR,MIN,6,103.3,9,104.3,91.1,-0.9,12.3
Jaxson Dart,QB,NYG,8,103.5,9,102.3,88.2,1.2,15.2
Makai Lemon,WR,PHI,10,104.9,9,94.8,79.1,10.1,25.8
Kyle Monangai,RB,CHI,10,106.5,9,106.3,97.5,0.2,9.0
Brock Purdy,QB,SF,8,107.1,9,107.5,100.1,-0.4,7.0
Dalton Kincaid,TE,BUF,7,107.1,9,109.2,110.5,-2.1,-3.3
Jacory Croskey-Merritt,RB,WAS,7,107.9,9,113.6,120.5,-5.7,-12.6
Chuba Hubbard,RB,CAR,5,108.0,10,97.0,71.4,11.1,36.6
Bo Nix,QB,DEN,10,108.8,10,108.6,99.5,0.2,9.3
Matthew Golden,WR,GB,11,109.0,10,109.1,112.5,-0.1,-3.5
J.K. Dobbins,RB,DEN,10,112.0,10,103.9,106.9,8.1,5.2
Isaiah Likely,TE,NYG,8,112.6,10,114.4,125.2,-1.8,-12.7
George Kittle,TE,SF,8,115.0,10,116.5,95.1,-1.5,19.9
Jordan Love,QB,GB,11,115.2,10,114.7,108.6,0.5,6.6
Kyler Murray,QB,MIN,6,116.4,10,119.1,106.5,-2.6,10.0
Deebo Samuel Sr.,WR,SF,8,117.7,10,120.4,179.1,-2.7,-61.3
Rachaad White,RB,WAS,7,118.5,10,115.2,134.8,3.3,-16.3
Dallas Goedert,TE,PHI,10,119.1,10,120.4,123.7,-1.3,-4.7
Jakobi Meyers,WR,JAX,7,119.7,10,116.0,101.2,3.7,18.5
De'Zhaun Stribling,WR,SF,8,121.4,11,139.8,182.6,-18.4,-61.2
Tyler Shough,QB,NO,8,121.8,11,119.9,111.4,1.9,10.4
Romeo Doubs,WR,NE,11,122.4,11,120.5,108.1,1.8,14.3
Xavier Worthy,WR,KC,5,122.4,11,118.5,121.3,3.9,1.2
Travis Kelce,TE,KC,5,124.4,11,124.1,115.1,0.3,9.3
Baker Mayfield,QB,TB,10,124.8,11,123.1,116.2,1.6,8.5
Khalil Shakir,WR,BUF,7,125.7,11,125.3,123.5,0.4,2.2
KC Concepcion,WR,CLE,11,125.8,11,127.6,119.8,-1.8,6.0
Jalen Coker,WR,CAR,5,129.3,11,126.9,132.0,2.4,-2.7
Jake Ferguson,TE,DAL,14,129.8,11,128.8,127.4,1.0,2.4
Jayden Higgins,WR,HOU,8,131.4,11,130.1,134.9,1.3,-3.5
Aaron Jones Sr.,RB,MIN,6,131.5,11,131.0,127.2,0.5,4.2
Malik Willis,QB,MIA,6,132.4,12,134.6,129.5,-2.2,2.8
Tyrone Tracy Jr.,RB,NYG,8,133.7,12,132.8,139.9,0.9,-6.1
