Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
P,Ace Sampson (1001),Ace Sampson,1001,P,8126,SAM@WKS 7:05PM ET,SAM,16.0
P,Deuce Hartley (1002),Deuce Hartley,1002,P,8417,SAM@WKS 7:05PM ET,SAM,15.07
P,Miles Rocker (1003),Miles Rocker,1003,P,7096,SAM@WKS 7:05PM ET,WKS,13.43
P,Two Byrne (1004),Two Byrne,1004,P,7185,SAM@WKS 7:05PM ET,WKS,11.64
P,Reed Foxworth (1005),Reed Foxworth,1005,P,7037,BLU@FOX 9:40PM ET,FOX,13.69
P,Cal Denny (1006),Cal Denny,1006,P,7679,BLU@FOX 9:40PM ET,FOX,10.92
P,Trey Osgood (1007),Trey Osgood,1007,P,8576,BLU@FOX 9:40PM ET,BLU,14.16
P,Sonny Blevins (1008),Sonny Blevins,1008,P,7785,BLU@FOX 9:40PM ET,BLU,11.32
C,Jax Vance (1009),Jax Vance,1009,C,4338,SAM@WKS 7:05PM ET,SAM,7.2
C,Cole Hollis (1010),Cole Hollis,1010,C,4916,SAM@WKS 7:05PM ET,SAM,8.47
1B,Marco Marsh (1011),Marco Marsh,1011,1B,3514,SAM@WKS 7:05PM ET,SAM,7.84
1B,Beau Boone (1012),Beau Boone,1012,1B,4987,SAM@WKS 7:05PM ET,SAM,12.71
2B,Tanner Kline (1013),Tanner Kline,1013,2B,4963,SAM@WKS 7:05PM ET,SAM,10.85
2B,Rico Draper (1014),Rico Draper,1014,2B,2803,SAM@WKS 7:05PM ET,SAM,7.22
3B,Dez Voss (1015),Dez Voss,1015,3B,2790,SAM@WKS 7:05PM ET,SAM,6.02
3B,Wyatt Mercer (1016),Wyatt Mercer,1016,3B,3145,SAM@WKS 7:05PM ET,SAM,5.94
SS,Gus Gault (1017),Gus Gault,1017,SS,3190,SAM@WKS 7:05PM ET,SAM,6.83
SS,Leo Rowe (1018),Leo Rowe,1018,SS,4938,SAM@WKS 7:05PM ET,SAM,9.42
OF,Kai Payne (1019),Kai Payne,1019,OF,5942,SAM@WKS 7:05PM ET,SAM,13.56
OF,Ellis Lund (1020),Ellis Lund,1020,OF,3022,SAM@WKS 7:05PM ET,SAM,6.59
OF,Nash Cassel (1021),Nash Cassel,1021,OF,5216,SAM@WKS 7:05PM ET,SAM,9.33
OF,Rex Enright (1022),Rex Enright,1022,OF,2999,SAM@WKS 7:05PM ET,SAM,6.44
C,Milo Sharpe (1023),Milo Sharpe,1023,C,2857,SAM@WKS 7:05PM ET,WKS,6.18
C,Otto Dunbar (1024),Otto Dunbar,1024,C,5135,SAM@WKS 7:05PM ET,WKS,9.27
1B,Zeke Fenn (1025),Zeke Fenn,1025,1B,5386,SAM@WKS 7:05PM ET,WKS,11.48
1B,Finn Garrick (1026),Finn Garrick,1026,1B,5783,SAM@WKS 7:05PM ET,WKS,11.07
2B,Bo Holt (1027),Bo Holt,1027,2B,4998,SAM@WKS 7:05PM ET,WKS,12.61
2B,Chase Ives (1028),Chase Ives,1028,2B,4081,SAM@WKS 7:05PM ET,WKS,7.75
